symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
LHRREIT,,,,,,,,,yfinance.info/recommendations
LHSC,13.6,13.6,13.6,13.6,1.0,,,,yfinance.info/recommendations
LIT,,,,,,,,,yfinance.info/recommendations
LOXLEY,,,,,,,,,yfinance.info/recommendations
LPH,,,,,,,,,yfinance.info/recommendations
LPN,1.92833,1.835,2.5,1.5,6.0,4.16667,1970-01-01,20403.0,yfinance.info/recommendations
LRH,,,,,,,,,yfinance.info/recommendations
LST,,,,,,,,,yfinance.info/recommendations
LTMH,6.6,6.6,6.6,6.6,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
LTS,12.3,12.3,12.3,12.3,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
M,28.5,28.0,31.0,26.5,3.0,,1970-01-01,20403.0,yfinance.info/recommendations
M-CHAI,,,,,,,,,yfinance.info/recommendations
MADAME,,,,,,,,,yfinance.info/recommendations
MAGURO,30.025,30.125,31.6,28.25,4.0,,1970-01-01,20403.0,yfinance.info/recommendations
MAJOR,10.69167,11.5,13.5,6.5,6.0,,1970-01-01,20403.0,yfinance.info/recommendations
MALEE,9.9,9.9,11.1,8.7,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
MANRIN,,,,,,,,,yfinance.info/recommendations
MASTER,12.125,12.75,14.0,9.0,4.0,3.25,1970-01-01,20403.0,yfinance.info/recommendations
MATCH,,,,,,,,,yfinance.info/recommendations
MATI,,,,,,,,,yfinance.info/recommendations
MBAX,,,,,,,,,yfinance.info/recommendations
MBK,,,,,,,,,yfinance.info/recommendations
MC,13.1,12.6,14.2,12.5,3.0,,1970-01-01,20403.0,yfinance.info/recommendations
MCA,,,,,,,,,yfinance.info/recommendations
MCOT,,,,,,,,,yfinance.info/recommendations
MCS,,,,,,,,,yfinance.info/recommendations
MDX,,,,,,,,,yfinance.info/recommendations
